,id,titleText,releaseYear,releaseMonth,genre
0,tt0098150,Qu mo jing cha,1990,11.0,Horror
1,tt0097550,I Bought a Vampire Motorcycle,1990,7.0,Horror
2,tt0097718,The Laughing Dead,1990,,Horror
3,tt0097178,Sangue negli abissi,1990,9.0,Horror
4,tt0097874,Metamorphosis,1990,8.0,Horror
5,tt0097184,Demonstone,1990,2.0,Horror
6,tt0098486,Der Todesking,1990,1.0,Horror
7,tt0098375,Spontaneous Combustion,1990,2.0,Horror
8,tt0099026,The Ambulance,1990,10.0,Horror
9,tt0099817,Dark Angel,1990,9.0,Horror
10,tt0094997,Demonia,1990,10.0,Horror
11,tt0096871,Baby Blood,1990,1.0,Horror
12,tt0096830,Aquí huele a muerto... (¡pues yo no he sido!),1990,1.0,Horror
13,tt0095878,Pledge Night,1990,12.0,Horror
14,tt0096954,Bloodmoon,1990,3.0,Horror
15,tt0097726,Legion of Iron,1990,8.0,Horror
16,tt0097638,Hoi sum gwai gau hoi sum gwai,1990,6.0,Horror
17,tt0098136,Prom Night III: The Last Kiss,1990,11.0,Horror
18,tt0099180,Bride of Re-Animator,1990,7.0,Horror
19,tt0099253,Child's Play 2,1990,11.0,Horror
